Matthew,26,13,"Truly I say to you, wherever this gospel is proclaimed in the whole world, what this woman has done will also be told in memory of her.”"
Matthew,26,14,"Then one of the twelve, the one named Judas Iscariot, went to the chief priests"
Matthew,26,15,"and said, “What are you willing to give me if I in turn deliver him to you?” So they set out for him thirty silver coins."
Matthew,26,16,"And from that time on, he began seeking a favorable opportunity in order that he could betray him."
Matthew,26,17,"Now on the first day of the feast of Unleavened Bread the disciples came up to Jesus, saying, “Where do you want us to prepare for you to eat the Passover?”"
Matthew,26,18,"And he said, “Go into the city to a certain man and tell him, ‘The Teacher says, “My time is near. I am celebrating the Passover with you with my disciples.” ’"
Matthew,26,19,"And the disciples did as Jesus directed them, and they prepared the Passover."
Matthew,26,20,"And when it was evening, he was reclining at table with the twelve disciples."
Matthew,26,21,"And while they were eating he said, “Truly I say to you, that one of you will betray me.”"
Matthew,26,22,"And greatly distressed, each one began to say to him, “Surely I am not he, am I, Lord?”"
Matthew,26,23,"And he answered and said, “The one who dips his hand in the bowl with me—this one will betray me."
Matthew,26,24,"The Son of Man is going just as it is written about him, but woe to that man by whom the Son of Man is betrayed! It would be better for him if that man had not been born.”"
Matthew,26,25,"And Judas, the one who was betraying him, answered and said, “Surely I am not he, am I, Rabbi?” He said to him, “You have said it.”"
Matthew,26,26,"Now while they were eating Jesus took bread and, after giving thanks, he broke it, and giving it to the disciples, he said, “Take, eat, this is my body.”"
Matthew,26,27,"And after taking the cup and giving thanks he gave it to them, saying, “Drink from it, all of you,"
Matthew,26,28,for this is my blood of the covenant which is poured out for many for the forgiveness of sins.
Matthew,26,29,"But I tell you, from now on I will never drink of this fruit of the vine until that day when I drink it new with you in the kingdom of my Father.”"
Matthew,26,30,"And after they had sung the hymn, they went out to the Mount of Olives."
Matthew,26,31,"Then Jesus said to them, “You will all fall away because of me during this night, for it is written, ‘I will strike the shepherd and the sheep of the flock will be scattered.’"
Matthew,26,32,"But after I am raised, I will go ahead of you into Galilee.”"
Matthew,26,33,"But Peter answered and said to him, “If they all fall away because of you, I will never fall away!”"
Matthew,26,34,"Jesus said to him, “Truly I say to you that during this night, before the rooster crows, you will deny me three times!”"
Matthew,26,35,"Peter said to him, “Even if it is necessary for me to die with you, I will never deny you!” And all the disciples said the same thing."
Matthew,26,36,"Then Jesus went with them to a place called Gethsemane, and he said to the disciples, “Sit here while I go over there and pray.”"
Matthew,26,37,"And taking along Peter and the two sons of Zebedee, he began to be distressed and troubled."
Matthew,26,38,"Then he said to them, “My soul is deeply grieved, to the point of death. Remain here and stay awake with me.”"
Matthew,26,39,"And going forward a little he fell down on his face, praying and saying, “My Father, if it is possible, let this cup pass from me. Nevertheless, not as I will, but as you will.”"
Matthew,26,40,"And he came to the disciples and found them sleeping, and he said to Peter, “So, were you not able to stay awake with me one hour?"
Matthew,26,41,"Stay awake and pray that you will not enter into temptation. The spirit is willing, but the flesh is weak!”"
Matthew,26,42,"Again for the second time he went away and prayed, saying, “My Father, if this cannot pass unless I drink it, your will must be done.”"
Matthew,26,43,"And he came again and found them sleeping, for they could not keep their eyes open."
Matthew,26,44,"And leaving them again, he went away and prayed for the third time, saying the same thing again."
Matthew,26,45,"Then he came to the disciples and said to them, “Are you still sleeping and resting? Behold, the hour is near, and the Son of Man is being betrayed into the hands of sinners."
Matthew,26,46,"Get up, let us go! Behold, the one who is betraying me is approaching!”"
Matthew,26,47,"And while he was still speaking, behold, Judas—one of the twelve—arrived, and with him a large crowd with swords and clubs, from the chief priests and elders of the people."
Matthew,26,48,"Now the one who was betraying him had given them a sign, saying, “The one whom I kiss—he is the one. Arrest him!”"
Matthew,26,49,"And he came up to Jesus immediately and said, “Greetings, Rabbi,” and kissed him."
Matthew,26,50,"And Jesus said to him, “Friend, do that for which you have come.” Then they came up and laid hands on Jesus and arrested him."
Matthew,26,51,"And behold, one of those with Jesus extended his hand and drew his sword, and striking the slave of the high priest, cut off his ear."
Matthew,26,52,"Then Jesus said to him, “Put your sword back into its place! For all who take up the sword will die by the sword."
Matthew,26,53,"Or do you think that I cannot call upon my Father, and he would put at my disposal at once more than twelve legions of angels?"
Matthew,26,54,How then would the scriptures be fulfilled that it must happen in this way?”
Matthew,26,55,"At that time Jesus said to the crowds, “Have you come out with swords and clubs, as against a robber, to arrest me? Every day in the temple courts I sat teaching, and you did not arrest me!"
Matthew,26,56,But all this has happened in order that the scriptures of the prophets would be fulfilled.” Then the disciples all abandoned him and fled.
Matthew,26,57,"Now those who had arrested Jesus led him away to Caiaphas the high priest, where the scribes and the elders had gathered."
Matthew,26,58,"But Peter was following him from a distance, as far as the courtyard of the high priest. And he went inside and was sitting with the officers to see the outcome."
Matthew,26,59,Now the chief priests and the whole Sanhedrin were looking for false testimony against Jesus in order that they could put him to death.
Matthew,26,60,"And they did not find it, although many false witnesses came forward. And finally two came forward"
Matthew,26,61,"and said, “This man said, ‘I am able to destroy the temple of God and rebuild it within three days.’ ”"
Matthew,26,62,"And the high priest stood up and said to him, “Do you reply nothing? What are these people testifying against you?”"
Matthew,26,63,"But Jesus was silent. And the high priest said to him, “I put you under oath by the living God, that you tell us if you are the Christ, the Son of God!”"
Matthew,26,64,"Jesus said to him, “You have said it. But I tell you, from now on you will see the Son of Man sitting at the right hand of the Power and coming on the clouds of heaven.”"
Matthew,26,65,"Then the high priest tore his robes, saying, “He has blasphemed! What further need do we have of witnesses? Behold, you have just now heard the blasphemy!"
Matthew,26,66,"What do you think?” And they answered and said, “He deserves death!”"
Matthew,26,67,"Then they spat in his face and struck him with their fists, and they slapped him,"
Matthew,26,68,"saying, “Prophesy for us, you Christ! Who is it who hit you?”"
Matthew,26,69,"Now Peter was sitting outside in the courtyard, and a female slave came up to him and said, “You also were with Jesus the Galilean.”"
Matthew,26,70,"But he denied it in the presence of them all, saying, “I do not know what you mean!”"
Matthew,26,71,"And when he went out to the gateway, another female slave saw him and said to those who were there, “This man was with Jesus the Nazarene.”"
Matthew,26,72,"And again he denied it with an oath, “I do not know the man!”"
Matthew,26,73,"And after a little while those who were standing there came up and said to Peter, “You really are one of them also, because even your accent reveals who you are.”"
Matthew,26,74,"Then he began to curse and to swear with an oath, “I do not know the man!” And immediately a rooster crowed."
Matthew,26,75,"And Peter remembered the statement Jesus had said, “Before the rooster crows, you will deny me three times,” and he went outside and wept bitterly."
Matthew,27,1,"Now when it was early morning, all the chief priests and the elders of the people took counsel against Jesus in order to put him to death."
Matthew,27,2,"And after tying him up, they led him away and handed him over to Pilate the governor."
Matthew,27,3,"Then when Judas, the one who had betrayed him, saw that he had been condemned, he regretted what he had done and returned the thirty silver coins to the chief priests and elders,"
Matthew,27,4,"saying, “I have sinned by betraying innocent blood!” But they said, “What is that to us? You see to it!”"
Matthew,27,5,And throwing the silver coins into the temple he departed. And he went away and hanged himself.
Matthew,27,6,"But the chief priests took the silver coins and said, “It is not permitted to put them into the temple treasury, because it is blood money.”"
Matthew,27,7,"And after taking counsel, they purchased with them the Potter’s Field, for a burial place for strangers."
Matthew,27,8,(For this reason that field has been called the Field of Blood until today.)
Matthew,27,9,"Then what was spoken by the prophet Jeremiah was fulfilled, who said, “And they took the thirty silver coins, the price of the one who had been priced, on whom a price had been set by the sons of Israel,"
Matthew,27,10,"and they gave them for the potter’s field, just as the Lord directed me.”"
Matthew,27,11,"So Jesus stood before the governor, and the governor asked him, saying, “Are you the king of the Jews?” And Jesus said, “You say so.”"
Matthew,27,12,And when he was being accused by the chief priests and elders he answered nothing.
Matthew,27,13,"Then Pilate said to him, “Do you not hear how many things they are testifying against you?”"
Matthew,27,14,"And he did not reply to him, not even with reference to one statement, so that the governor was very astonished."
Matthew,27,15,"Now at each feast, the governor was accustomed to release one prisoner to the crowd—the one whom they wanted."
Matthew,27,16,And at that time they had a notorious prisoner named Jesus Barabbas.
Matthew,27,17,"So after they had assembled, Pilate said to them, “Whom do you want me to release for you—Jesus Barabbas or Jesus who is called Christ?”"
Matthew,27,18,(For he knew that they had handed him over because of envy.
Matthew,27,19,"And while he was sitting on the judgment seat, his wife sent a message to him, saying, “Have nothing to do with that righteous man, for I have suffered much as a result of a dream today because of him.”)"
Matthew,27,20,But the chief priests and the elders persuaded the crowds that they should ask for Barabbas and put Jesus to death.
Matthew,27,21,"So the governor answered and said to them, “Which of the two do you want me to release for you?” And they said, “Barabbas!”"
Matthew,27,22,"Pilate said to them, “What then should I do with Jesus, the one who is called Christ?” They all said, “Let him be crucified!”"
Matthew,27,23,"And he said, “Why? What wrong has he done?” But they began to shout even louder, saying, “Let him be crucified!”"
Matthew,27,24,"So Pilate, when he saw that he was accomplishing nothing, but instead an uproar was developing, took water and washed his hands before the crowd, saying, “I am innocent of the blood of this man. You see to it!”"
Matthew,27,25,"And all the people answered and said, “His blood be on us and on our children!”"
Matthew,27,26,"Then he released Barabbas for them, but after he had Jesus flogged, he handed him over so that he could be crucified."
Matthew,27,27,Then the soldiers of the governor took Jesus into the governor’s residence and gathered the whole cohort to him.
Matthew,27,28,"And they stripped him and put a scarlet military cloak around him,"
Matthew,27,29,"and weaving a crown of thorns, they put it on his head, and put a reed in his right hand. And kneeling down before him, they mocked him, saying, “Hail, king of the Jews!”"
Matthew,27,30,And they spat on him and took the reed and repeatedly struck him on his head.
Matthew,27,31,"And when they had mocked him, they stripped him of the military cloak and put his own clothes on him, and led him away in order to crucify him."
Matthew,27,32,"And as they were going out, they found a man of Cyrene named Simon. They forced this man to carry his cross."
Matthew,27,33,"And when they came to a place called Golgotha (which means Place of a Skull),"
Matthew,27,34,"they gave him wine mixed with gall to drink, and when he tasted it he did not want to drink it."
Matthew,27,35,"And when they had crucified him, they divided his clothes among themselves by casting lots."
Matthew,27,36,And they sat down and were watching over him there.
Matthew,27,37,"And they put above his head the charge against him in writing: “This is Jesus, the king of the Jews.”"
Matthew,27,38,"Then two robbers were crucified with him, one on his right and one on his left."
Matthew,27,39,"And those who passed by reviled him, shaking their heads"
Matthew,27,40,"and saying, “The one who would destroy the temple and rebuild it in three days, save yourself! If you are the Son of God, come down from the cross!”"
Matthew,27,41,"In the same way also the chief priests, along with the scribes and elders, were mocking him, saying,"
Matthew,27,42,"“He saved others; he is not able to save himself! He is the king of Israel! Let him come down now from the cross, and we will believe in him!"
Matthew,27,43,"He trusts in God; let him deliver him now if he wants to, because he said, ‘I am the Son of God’!”"
Matthew,27,44,And in the same way even the robbers who were crucified with him were reviling him.
Matthew,27,45,"Now from the sixth hour, darkness came over all the land until the ninth hour."
Matthew,27,46,"And about the ninth hour Jesus cried out with a loud voice, saying, “ Eli, Eli, lema sabachthani? ” (that is, “My God, my God, why have you forsaken me?”)"
Matthew,27,47,"And some of those who were standing there, when they heard it, said, “This man is summoning Elijah!”"
Matthew,27,48,And immediately one of them ran and took a sponge and filled it with sour wine and put it on a reed and gave it to him to drink.
Matthew,27,49,"But the others said, “Leave him alone! let us see if Elijah is coming to save him.”"
Matthew,27,50,And Jesus cried out again with a loud voice and gave up his spirit.
Matthew,27,51,"And behold, the curtain of the temple was torn in two from top to bottom, and the earth shook and the rocks were split."
Matthew,27,52,"And the tombs were opened, and many bodies of the saints who had fallen asleep were raised,"
Matthew,27,53,"and coming out of the tombs after his resurrection, they went into the holy city and appeared to many."
Matthew,27,54,"Now the centurion and those with him who were guarding Jesus, when they saw the earthquake and the things that took place, were extremely frightened, saying, “Truly this man was God’s Son!”"
Matthew,27,55,"And there were many women there, observing from a distance, who had followed Jesus from Galilee, serving him,"
Matthew,27,56,"among whom were Mary Magdalene, and Mary the mother of James and Joseph, and the mother of the sons of Zebedee."
Matthew,27,57,"Now when it was evening, a rich man from Arimathea named Joseph came, who also was a disciple of Jesus himself."
Matthew,27,58,This man approached Pilate and asked for the body of Jesus. Then Pilate ordered it to be given to him.
Matthew,27,59,"And Joseph took the body and wrapped it in a clean linen cloth,"
Matthew,27,60,and placed it in his own new tomb that he had cut in the rock. And he rolled a large stone to the entrance of the tomb and went away.
Matthew,27,61,"Now Mary Magdalene and the other Mary were there, sitting opposite the tomb."
Matthew,27,62,"Now on the next day, which is after the day of preparation, the chief priests and the Pharisees assembled before Pilate,"
Matthew,27,63,"saying, “Sir, we remember that while that deceiver was still alive he said, ‘After three days I will rise.’"
Matthew,27,64,"Therefore give orders that the tomb be made secure until the third day, lest his disciples come and steal him and tell the people, ‘He has been raised from the dead,’ and the last deception will be worse than the first.”"
Matthew,27,65,"Pilate said to them, “You have a guard of soldiers. Go, make it as secure as you know how.”"
Matthew,27,66,So they went with the guard of soldiers and made the tomb secure by sealing the stone.
Matthew,28,1,"Now after the Sabbath, at the dawning on the first day of the week, Mary Magdalene and the other Mary came to view the tomb."
Matthew,28,2,"And behold, there was a great earthquake, for an angel of the Lord descended from heaven and came up and rolled away the stone and sat down on it."
Matthew,28,3,Now his appearance was like lightning and his clothing white as snow.
Matthew,28,4,And the guards trembled from the fear of him and became like dead men.
Matthew,28,5,"But the angel answered and said to the women, “Do not be afraid, for I know that you are looking for Jesus, who was crucified."
Matthew,28,6,"He is not here, for he has been raised, just as he said. Come, see the place where he was lying."
Matthew,28,7,"And go quickly, tell his disciples, ‘He has been raised from the dead, and behold, he is going ahead of you into Galilee. You will see him there.’ Behold, I have told you.”"
Matthew,28,8,"And they departed quickly from the tomb with fear and great joy, and ran to tell his disciples."
Matthew,28,9,"And behold, Jesus met them, saying, “Greetings!” And they came up and took hold of his feet and worshiped him."
Matthew,28,10,"Then Jesus said to them, “Do not be afraid! Go tell my brothers that they should go to Galilee, and there they will see me.”"
Matthew,28,11,"And while they were going, behold, some of the guard of soldiers went into the city and reported to the chief priests everything that had happened."
Matthew,28,12,"And after they had assembled with the elders and had taken counsel, they gave a rather large sum of money to the soldiers,"
Matthew,28,13,"telling them, “Say ‘His disciples came during the night and stole him while we were sleeping.’"
Matthew,28,14,"And if this matter is heard before the governor, we will satisfy him and keep you out of trouble.”"
Matthew,28,15,"So they took the money and did as they were told, and spread abroad this report among the Jews until this very day."
Matthew,28,16,"So the eleven disciples proceeded to Galilee, to the mountain which Jesus had designated for them."
Matthew,28,17,"And when they saw him, they worshiped him, but some doubted."
Matthew,28,18,"And Jesus approached and spoke to them, saying, “All authority in heaven and on earth has been given to me."
Matthew,28,19,"Therefore, go and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,"
Matthew,28,20,"teaching them to observe everything I have commanded you, and behold, I am with you all the days until the end of the age.”"
